id,subject,chapter,source,answer,analysis_state,answerStatus,analysisSource,analysisImagesCount,missingImage,officialAnswerMismatch,stem
MATH-0028,高数,第一章 函数、极限与连续,高数270道错题本,e^(-2),仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,求 lim(x→∞)(1-2/x)^x
MATH-0029,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 lim(n→∞)(5^(n+2)-2^n)/(7^n+5^n)
MATH-0030,高数,第一章 函数、极限与连续,高数270道错题本,所要求的 ξ 存在,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f(x) 在 [a,b] 上连续，a<x₁<x₂<x₃<b。证明：存在 ξ∈[a,b]，使 f(ξ)=[f(x₁)+2f(x₂)+f(x₃)]/4。"
MATH-0031,高数,第一章 函数、极限与连续,高数270道错题本,"方程在 (0,1) 内至少有一个根",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"证明 x³-2x²-x+1=0 在(0,1)内至少有根"
MATH-0032,高数,第一章 函数、极限与连续,高数270道错题本,存在 ξ，使 f(ξ)=1-ξ,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"f连续且f(0)=0,f(1)=1，证存在ξ使f(ξ)=1-ξ"
MATH-0033,高数,第一章 函数、极限与连续,高数270道错题本,极限为 1,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,证明：lim(n→∞) n[1/(n²+π)+1/(n²+2π)+⋯+1/(n²+nπ)]=1。
MATH-0034,高数,第一章 函数、极限与连续,高数270道错题本,极限存在，且极限为 2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,证明数列 √2，√(2+√2)，√(2+√(2+√2))，⋯ 的极限存在。令 a₁=√2，aₙ=√(2+aₙ₋₁)（n≥2）。
MATH-0035,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,设f(x)=√x，按定义求f′(4)
MATH-0036,高数,第二章 导数与微分,高数270道错题本,f 在 x=0 处可导，且 f′(0)=2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断函数 f(x)={ln(1+2x)，x≤0；sin 2x，x>0} 在 x=0 处是否可导。
MATH-0037,高数,第二章 导数与微分,高数270道错题本,a=0，b=1,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,确定 a、b 的值，使函数 f(x)={cos x，x≤0；ax+b，x>0} 在 x=0 处可导。
MATH-0038,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"求y=ln(1+x)在(0,0)处切线与法线"
MATH-0039,高数,第二章 导数与微分,高数270道错题本,y=ex,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"求y=e^x过(0,0)的切线方程"
MATH-0040,高数,第二章 导数与微分,高数270道错题本,a=2/e,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=a√x 与 y=ln x 相切，求a
MATH-0041,高数,第二章 导数与微分,高数270道错题本,f'(0)=3/2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,已知 f(x)=(2x+sin x)/(1+cos x)，求f′(0)
MATH-0042,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求f(x)=x²在x=1处的导数f′(1)
MATH-0043,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,已知f在x0可导，求 Δx/[f(x0+3Δx)-f(x0)] 极限
MATH-0044,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,f(x)=x(x+1)…(x+2024)，求f′(0)
MATH-0045,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,分段函数(2/3)x³与x²在x=1处左右导数判断
MATH-0046,高数,综合题,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"f(x)=min{x,x²}在全实数不可导点个数"
MATH-0047,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,sin2x+x²cos(1/x)分段函数在0处性质判断
MATH-0048,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,lim(x→1)[√(4x)-2]/[2-√(5-x)]
MATH-0049,高数,第一章 函数、极限与连续,高数270道错题本,e^(-1/2),有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 lim(x→0) [1/(1+x)]^(1/(2x)-1)
MATH-0050,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,lim(x→0)1/x²·sin²(x/√5)
MATH-0051,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,lim(x→0)[xsin(1/x)+(1/x)sin x]
MATH-0052,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,n→∞时与sin²(1/n)等价的无穷小
MATH-0053,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,x→0⁻时 y=e^(1/x) 的极限
MATH-0054,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,分段函数求定义域、函数值、连续区间、lim(x→1)f(x)
MATH-0055,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,f(x)=1/(1-e^x)在x=0附近间断情况
MATH-0056,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,f(x)=1/(1+2^(1/x))在x=0附近间断情况
MATH-0057,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,x arctan(1/x²)分段函数在0处连续与可导
MATH-0058,高数,第二章 导数与微分,高数270道错题本,y=3x-4,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"求y=x^(3/2)通过点(0,-4)的切线方程"
MATH-0059,高数,第二章 导数与微分,高数270道错题本,a=2，b=-1,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"y=x²+ax+b与y=x³+x在(1,2)处相切，求a,b"
MATH-0060,高数,第二章 导数与微分,高数270道错题本,y=-(2/3)x+2√2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,2,,,"参数方程x=3cost,y=2sint，t=π/4求切线"
MATH-0061,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"参数方程x=2t²+t,y=ln(1-t)，x=3处切线"
MATH-0062,高数,第二章 导数与微分,高数270道错题本,y'=1/x，x≠0,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=ln|x|的导数
MATH-0063,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"分段f={cos x,x≤0; e^x,x>0}求f′(x)"
MATH-0064,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"f(x)=3x²-2,x>0，反函数φ，求φ’(1)"
MATH-0065,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=(x/(1+x))^x的导数
MATH-0066,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=√[(3x-2)/((5-2x)(x-1))]的导数
MATH-0067,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=³√[x(x²+1)/(e^x(x²+5))]的导数
MATH-0068,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=[(1-x)/(1+x)]e^√x在x=4处导数
MATH-0069,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,设y=ln(x-1)，求y^(n)
MATH-0070,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=cos²x·ln x，求y’’
MATH-0071,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,lim(x→0)[e^(x²)-1-x²]/[x³sinx]
MATH-0072,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,lim(x→0+)x^(tan x)
MATH-0073,高数,第二章 导数与微分,高数270道错题本,dy/dx=1/t,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"参数方程x=ln√(1+t²),y=arctant，求dy/dx"
MATH-0074,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"求曲线y=∛x在(0,0)处切线方程"
MATH-0075,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=x³-x在M点切线平行于x+y=1，求M
MATH-0076,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=(1-√x)/(1+√x)的导数
MATH-0077,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=3/(5-x)+x²/5的导数
MATH-0078,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=1/x-2√x+x^(3/2)的导数
MATH-0079,高数,第二章 导数与微分,高数270道错题本,y'=2^x(x²ln2+2x),有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=2^x·x²的导数
MATH-0080,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=(x+1)/(x-2)的导数
MATH-0081,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=1/(1+√x)+1/(1-√x)的导数
MATH-0082,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=(1+cos x)/(1-cos x)的导数
MATH-0083,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=sin x/(1+cos x)的导数
MATH-0084,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=xtanx+secx-1的导数
MATH-0085,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=arccos(1/x)的导数
MATH-0086,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=arctan((x+1)/(x-1))的导数
MATH-0087,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=cos[f(1/x)]的导数
MATH-0088,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=f(e^(x²))sinx的导数
MATH-0089,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=√(4-x²)+x·arcsin(x/2)的导数
MATH-0090,高数,第二章 导数与微分,高数270道错题本,在 0 处导数为 π/4,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=e^x arctan(e^x)-ln√(1+e^(2x))在0处导数
MATH-0091,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=1/4ln((1+x)/(1-x))-1/2arctanx的导数
MATH-0092,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求y=x²sin(1/x)+2x/(1-x²)的导数
MATH-0093,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"分段f={x²sin(1/x),x≠0;0,x=0}求导"
MATH-0094,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"分段f={sin x,x<0;ln(1+x),x≥0}求导"
MATH-0095,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=a^x+√(1-a^(2x))·arccos(a^x)求导
MATH-0096,高数,第二章 导数与微分,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=(x/2)√(a²-x²)+(a²/2)arcsin(x/a)，求y’
MATH-0097,高数,第二章 导数与微分,高数270道错题本,1/2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,设函数 y=y(x) 由参数方程 x=t³+t²，y=t-ln(t+1) 所确定，求 dy/dx|_{t=0}
MATH-0098,高数,第二章 导数与微分,高数270道错题本,1/2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,已知方程 x=3t²+2t+3，e^(sin t)-y+1=0，由 y=y(x) 所确定，求 dy/dx|_{t=0}
MATH-0099,高数,第一章 函数、极限与连续,高数270道错题本,"(-2,-1)∪(-1,3]",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=√(9-x²)/lg(x+2)，求定义域
MATH-0100,高数,第一章 函数、极限与连续,高数270道错题本,"[-1,+∞)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,分段函数 f(x)={x，-1≤x≤0；sin x，0<x≤3；eˣ，x>3}，求定义域
MATH-0101,高数,第一章 函数、极限与连续,高数270道错题本,"(0,e)∪(e,+∞)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=e^(1/√x)+1/(1-ln x)，求定义域
MATH-0102,高数,第一章 函数、极限与连续,高数270道错题本,"[-2/3,1)∪(1,+∞)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=√(3x+2)+1/(1-x²)，求定义域
MATH-0103,高数,第一章 函数、极限与连续,高数270道错题本,"[0,1)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=arcsin(1-x)+1/2·lg((1+x)/(1-x))，求定义域
MATH-0104,高数,第一章 函数、极限与连续,高数270道错题本,"[-1/2,0]",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f[lg(1+x)] 的定义域为 [0,9]，求 f(2x+1) 的定义域"
MATH-0105,高数,第一章 函数、极限与连续,高数270道错题本,"y=log₂[x/(1-x)]，定义域 0<y<1 对应反函数定义域 (0,1)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=2ˣ/(2ˣ+1) 的反函数
MATH-0107,高数,第一章 函数、极限与连续,高数270道错题本,奇函数,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,f(x)=xcosx+sin x，判断函数奇偶性
MATH-0108,高数,第一章 函数、极限与连续,高数270道错题本,奇函数,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,f(x)=1/(2ˣ+1)-1/2，判断函数奇偶性
MATH-0109,高数,第一章 函数、极限与连续,高数270道错题本,y=(∛x-3)/4,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=(4x+3)³，求反函数
MATH-0110,高数,第一章 函数、极限与连续,高数270道错题本,y=e^(2x)-1,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=ln√(x+1)，求反函数
MATH-0111,高数,第一章 函数、极限与连续,高数270道错题本,y=(arccosx-1)/2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"y=cos(2x+1)，x∈[-1/2,(π-1)/2]，求反函数"
MATH-0112,高数,第一章 函数、极限与连续,高数270道错题本,y=e^(x-1)-2,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,y=1+ln(x+2)，求反函数
