id,chapter,type,stem
COMP-0092,第一章 计算机基础,填空题,18. 用24×24点阵的汉字字模存放汉字，100个汉字需要的存储容量为__________________。
COMP-0094,第一章 计算机基础,填空题,20. 总的来说，计算思维方法有两大类 一类是来自__________________的方法；另一类是计算机科学独有的方法。
COMP-0095,第一章 计算机基础,填空题,21. 二进制数1011.11的等值十进制为__________________。
COMP-0096,第一章 计算机基础,填空题,22. 在计算机内设有某进制数3+4=10， 则6+5= __________________。
COMP-0097,第一章 计算机基础,填空题,23. 十进制数97.75转换为二进制数是__________________。
COMP-0098,第一章 计算机基础,填空题,24. 十进制数0.6875 转换为二进制数为__________________。
COMP-0099,第一章 计算机基础,填空题,25. 在一个非零无符号二进制整数末尾去掉一个0，则此数的值为原数的__________________倍。
COMP-0100,第一章 计算机基础,填空题,26. “N”的 ASCⅡ码为4EH， 由此可推算出ASCⅡ码为01001010B所对应的字符是_______________________。
COMP-0101,第一章 计算机基础,填空题,27. 对于一个2K B的存储空间，其地址可以是000H到__________________ H。
COMP-0102,第一章 计算机基础,填空题,28. 汉字“中”字的国标码对应的十六进制为5650H(二进制为01010110 01010000)， 则它对应的机内码用十六进制表示为 ______________________________________。
COMP-0103,第一章 计算机基础,简答题,1. 什么是信息?什么是数据?二者有何关系?
COMP-0105,第二章 计算机系统组成,单项选择题,1. 指令的操作码表示的是 ( )。
COMP-0106,第二章 计算机系统组成,单项选择题,2. 指令的执行一般分为三个步骤 ，以下( )不属于三个步骤之一。
COMP-0107,第二章 计算机系统组成,单项选择题,3. 计算机是通过执行 ( )所规定的各种指令来处理各种数据的。
COMP-0108,第二章 计算机系统组成,单项选择题,4. 计算机系统由 ( )。
COMP-0109,第二章 计算机系统组成,单项选择题,5. 微处理器是将运算器、 ( )、高速内部缓存集成在一起的超大规模集成电路芯片，是计算机中最重要的核心部件。
COMP-0110,第二章 计算机系统组成,单项选择题,6. 计算机工作时，需首先将程序读入 ( )中，控制器按指令地址从中取出指令(按地址顺序访问指令)，然后分析指令，再执行指令。
COMP-0111,第二章 计算机系统组成,单项选择题,7. 计算机工作时突然电源中断，则计算机 ( )将全部丢失，再次通电后也不能恢复。
COMP-0112,第二章 计算机系统组成,单项选择题,8. ROM是指 ( ) 。
COMP-0113,第二章 计算机系统组成,单项选择题,9. 配置高速缓冲存储器(Cache)是为了解决 ( ) 。
COMP-0114,第二章 计算机系统组成,单项选择题,10. ( )总线即通用串行总线，是一种新型接口标准，目前广泛地应用于计算机、摄像机、数码相机和手机等多种数码设备上。
COMP-0115,第二章 计算机系统组成,单项选择题,11. 主存储器多由半导体存储器组成，按读写特性可以分为 ( )。
COMP-0116,第二章 计算机系统组成,单项选择题,12. 使用 Cache 可以提高计算机运行速度，这是因为 ( )。
COMP-0117,第二章 计算机系统组成,单项选择题,13. 显示器显示图像的清晰程度，主要取决于显示器的 ( )。
COMP-0118,第二章 计算机系统组成,单项选择题,14. 微型计算机的系统总线是 CPU 与其他部件之间传送 ( )信息的公共通道。
COMP-0121,第二章 计算机系统组成,单项选择题,17. 输入设备是将原始信息转化为计算机能接收的( ，以便计算机能够处理的设备。
COMP-0122,第二章 计算机系统组成,单项选择题,18. 下列一组设备包括输入设备、输出设备和存储设备的是 ( )。
COMP-0123,第二章 计算机系统组成,单项选择题,19. DR AM 的中文含义是 ( ) 。
COMP-0124,第二章 计算机系统组成,单项选择题,20. 将一张软盘设置写保护后，则对该软盘来说 ( )。
COMP-0125,第二章 计算机系统组成,单项选择题,21. 下面有关总线的说法中不正确的是 ( )。
COMP-0126,第二章 计算机系统组成,单项选择题,22. 下列存储器中，读写速度由高到低顺序排列正确的是 ( )。
COMP-0127,第二章 计算机系统组成,单项选择题,23. 在系统总线中，地址总线的位数 ( )。
COMP-0128,第二章 计算机系统组成,单项选择题,24. 下列关于US B接口的叙述中，错误的是 ( )。
COMP-0129,第二章 计算机系统组成,单项选择题,25. 一台完整的微型计算机是由存储器、输入设备、输出设备和 ( )组成的。
COMP-0130,第二章 计算机系统组成,单项选择题,26. 计算机中对数据进行加工与处理的部件，通常称为 ( )。
COMP-0131,第二章 计算机系统组成,单项选择题,27. 为解决某一特定问题而设计的指令序列称为 ( )。
COMP-0132,第二章 计算机系统组成,单项选择题,28. ( )是用户和计算机硬件系统之间的接口，它为用户和应用软件提供了访问和控制计算机硬件的桥梁。
COMP-0133,第二章 计算机系统组成,单项选择题,29. ( )是计算机系统唯一能识别的、不需要翻译直接供机器使用的程序设计语言。
COMP-0134,第二章 计算机系统组成,单项选择题,30. ( )对源程序是一边翻译，一边执行，并不产生目标程序。
COMP-0135,第二章 计算机系统组成,单项选择题,31. 以下 ( )是计算机程序设计语言所经历的主要阶段。
COMP-0136,第二章 计算机系统组成,单项选择题,32. ( )称为完整的计算机软件。
COMP-0137,第二章 计算机系统组成,单项选择题,33. 下列选项中不属于应用软件范畴的是 ( )
COMP-0138,第二章 计算机系统组成,单项选择题,34. 下列软件中属于系统软件的是 ( )。
COMP-0139,第二章 计算机系统组成,单项选择题,35. 关于计算机语言，下面叙述不正确的是 ( )。
COMP-0140,第二章 计算机系统组成,单项选择题,36. ( )语言是用助记符代替操作码、地址符号代替操作数的面向机器的语言。
COMP-0141,第二章 计算机系统组成,单项选择题,37. 编译程序的作用是 ( )。
COMP-0143,第二章 计算机系统组成,单项选择题,39. 常用来标识计算机运算速度的单位是 ( )。
COMP-0146,第二章 计算机系统组成,单项选择题,42. 下列常用术语中，描述错误的是 ( )。
COMP-0147,第二章 计算机系统组成,单项选择题,43. 硬盘工作时应特别注意避免 ( )的影响。
COMP-0148,第二章 计算机系统组成,单项选择题,44. 衡量计算机运算速度的一个常用单位是 MIPS，其含义是 ( )。
COMP-0149,第二章 计算机系统组成,单项选择题,45. 内存与外存相比，其主要特点是 ( )
COMP-0150,第二章 计算机系统组成,单项选择题,46. 在当前计算机领域中，通常用GHz来描述计算机的 ( )。
COMP-0151,第二章 计算机系统组成,单项选择题,47. 下面关于内存储器 (也称为主存)的叙述中，正确的是 ( )。
COMP-0152,第二章 计算机系统组成,单项选择题,48. 主板上CMOS芯片的主要用途是 ( ) 。
COMP-0153,第二章 计算机系统组成,单项选择题,49. 有一个 32KB 的内存储器，用十六进制数对它的地址进行编码，则编号可从0000H到( ) 。
COMP-0154,第二章 计算机系统组成,单项选择题,50. 假设计算机显示器的颜色质量为256色，则一个像素能用 ( )个字节表示。
COMP-0155,第二章 计算机系统组成,单项选择题,51. 以下叙述中，错误的是 )。
COMP-0156,第二章 计算机系统组成,单项选择题,52. 汇编语言是一种 ( ) 。
COMP-0157,第二章 计算机系统组成,单项选择题,53. 下列关于存储器的叙述，错误的是 ( )
COMP-0158,第二章 计算机系统组成,单项选择题,54. 下列关于指令执行过程的叙述，错误的是 ( )。
COMP-0159,第二章 计算机系统组成,单项选择题,55. 下列关于PC机主板的叙述，错误的是 ( )。
COMP-0160,第二章 计算机系统组成,单项选择题,56. 下列关于内存地址的叙述，错误的是 ( )。
COMP-0161,第二章 计算机系统组成,单项选择题,57. 为了解决内存容量不足问题，操作系统通常将一部分外存空间当作内存使用，这种技术是 ( )。
COMP-0162,第二章 计算机系统组成,单项选择题,58. 下列属于面向对象程序设计语言的是 ( )。
COMP-0164,第二章 计算机系统组成,单项选择题,60. 可以存放临时数据的独立存储单元是 ( )。
COMP-0167,第二章 计算机系统组成,单项选择题,63. 用高级程序设计语言编写的程序 ( )。
COMP-0168,第二章 计算机系统组成,单项选择题,64. 在计算机指令中，规定其所执行操作功能的部分称为 ( )。
COMP-0169,第二章 计算机系统组成,单项选择题,65. 计算机软件的确切含义是 ( )。
COMP-0170,第二章 计算机系统组成,单项选择题,66. 计算机的技术性能指标主要是指 ( )。
COMP-0171,第二章 计算机系统组成,单项选择题,67. 下列设备组中，完全属于外部设备的一组是 ( )。
COMP-0172,第二章 计算机系统组成,单项选择题,68. 下列叙述中，正确的是 ( ) 。
COMP-0173,第二章 计算机系统组成,单项选择题,69. 假设某台式计算机的内存储器容量为128MB，硬盘容量为10B。硬盘的容量是内存容量的 ( )。
COMP-0175,第二章 计算机系统组成,单项选择题,71. 解释程序的功能是 ( )。
COMP-0177,第二章 计算机系统组成,单项选择题,73. 下列各组软件中，全部属于(应用软件的是 ( )。
COMP-0178,第二章 计算机系统组成,单项选择题,74. 下列说法正确的是 ( ) 。
COMP-0179,第二章 计算机系统组成,单项选择题,75. 操作系统对磁盘进行读/写操作的物理单位是 ( )。
COMP-0180,第二章 计算机系统组成,单项选择题,76. 下列关于磁道的说法中，正确的是 ( )。
COMP-0181,第二章 计算机系统组成,单项选择题,77. 为了提高软件开发效率，开发软件时应尽量采用 ( )。
COMP-0182,第二章 计算机系统组成,单项选择题,78. 运算器 ( ALU) 的功能是 ( ) 。
COMP-0183,第二章 计算机系统组成,单项选择题,79. 下列说法中，错误的是 ( )。
COMP-0185,第二章 计算机系统组成,判断题,1. 微处理器是将运算器、控制器、高速内部缓存集成在一起的超大规模集成电路芯片，没有它计算机也可以工作。
COMP-0187,第二章 计算机系统组成,判断题,3. 主板是微型计算机系统中最大的一块电路板，它需要插到插槽中才能工作。
COMP-0188,第二章 计算机系统组成,判断题,4. 中央处理器和主存储器构成计算机的主体，称为主机。
COMP-0191,第二章 计算机系统组成,判断题,7. CPU的时钟频率是专门用来记忆时间的。
COMP-0192,第二章 计算机系统组成,判断题,8. 目前个人计算机普遍采用多核 CPU，所谓“多核”是将多个 CPU集成在同一芯片内。
COMP-0193,第二章 计算机系统组成,判断题,9. 在计算机中，用来解释并指挥协调各功能部件执行程序的是控制器。
COMP-0194,第二章 计算机系统组成,判断题,10. 计算机执行两条指令需要的时间称为指令周期。
COMP-0195,第二章 计算机系统组成,判断题,11. 主频即时钟频率，是指计算机 CPU在单位时间内发出的脉冲数，它在很大程度上决定了计算机的运算速度。
COMP-0196,第二章 计算机系统组成,填空题,1. 当计算机在工作时，有两种信息在执行指令的过程中流动，分别为______________和控制流。
COMP-0198,第二章 计算机系统组成,填空题,3. 在计算机的外部设备中，打印机属于______________设备。
COMP-0199,第二章 计算机系统组成,填空题,4. 显示系统是由显示器和______________ 两部分组成。
COMP-0200,第二章 计算机系统组成,填空题,5. 显示器的分辨率指水平分辨率和______________ 的乘积。
COMP-0201,第二章 计算机系统组成,填空题,6. 用MIPS为单位来衡量计算机的性能，它用来描述计算机的 ______________
COMP-0202,第二章 计算机系统组成,填空题,7. ______________ 设备是人与计算机联系的接口，用户可以通过它与计算机交换信息。
COMP-0204,第二章 计算机系统组成,填空题,9. 语言编译软件按分类来看是属于 ______________软件。
COMP-0205,第二章 计算机系统组成,填空题,10. 机器语言中每一个语句又称为 ______________ 。
COMP-0206,第二章 计算机系统组成,简答题,1. 简述计算机中存储器的分类及特点。
COMP-0207,第二章 计算机系统组成,简答题,2. 什么是输入设备和输出设备?目前常用的输入设备和输出设备有哪些?
COMP-0212,第三章 操作系统,单项选择题,1. 有关绿色软件和非绿色软件的说法中，正确的是 ( )。
COMP-0213,第三章 操作系统,单项选择题,2. DOS操作系统属于 ( ) 。
COMP-0214,第三章 操作系统,单项选择题,3. Windows是一种 ( ) 。
COMP-0215,第三章 操作系统,单项选择题,4. 以下软件不属于常见操作系统的是 ( )。
COMP-0216,第三章 操作系统,单项选择题,5. 计算机能及时响应外部事件的请求，在规定的严格时间内完成对该事件的处理，并控制所有实时设备和实时任务协调一致地工作的操作系统是 ( )。
COMP-0217,第三章 操作系统,单项选择题,6. 操作系统将 CPU 的时间资源划分成极短的时间片，轮流分配给各终端用户，使终端用户单独分享 CPU的时间片，有独占计算机的感觉，这种操作系统称为 ( )。
COMP-0218,第三章 操作系统,单项选择题,7. Linux 是一种 ( ) 。
COMP-0220,第三章 操作系统,单项选择题,9. 在下列操作系统中，属于分时系统的是 ( )。
COMP-0222,第三章 操作系统,单项选择题,11. 在下列操作系统中，运行在苹果公司Macintosh 系列计算机上的操作系统是 ( )。
COMP-0223,第三章 操作系统,单项选择题,12. 对使用计算机的普通用户而言，操作系统的作用是 ( )。
COMP-0224,第三章 操作系统,单项选择题,13. ( )是用户使用计算机时最先接触到的软件，在此基础上用户才可利用计算机的各种资源。
COMP-0225,第三章 操作系统,单项选择题,14. 下列有关操作系统的描述中不正确的是 ( )。
COMP-0226,第三章 操作系统,单项选择题,15. 用户无须了解计算机硬件或系统软件的有关细节就能方便地使用计算机，其根本原因在于 ( )的存在。
COMP-0227,第三章 操作系统,单项选择题,16. 以下关于操作系统的描述，不正确的是 ( )。
COMP-0228,第三章 操作系统,单项选择题,17. 在操作系统中，文件系统的主要作用是 ( )。
COMP-0229,第三章 操作系统,单项选择题,18. 在下列关于进程的说法中，正确的是 ( )。
COMP-0230,第三章 操作系统,单项选择题,19. 在下列关于线程的说法中，错误的是 ( )。
COMP-0231,第三章 操作系统,单项选择题,20. 以下关于用户账户的描述，不正确的是 ( )。
COMP-0232,第三章 操作系统,单项选择题,21. 在 Windows 的系统工具中， 磁盘碎片整理程序的功能是 ( ) 。
COMP-0234,第三章 操作系统,单项选择题,23. 在 Windows操作系统中，如要搜索文件名以“Bd”开头的所有纯文本文件，在搜索对话框中输入正确的是 ( )。
COMP-0235,第三章 操作系统,单项选择题,24. 关于磁盘的根目录，不正确的描述是 ( )。
COMP-0236,第三章 操作系统,单项选择题,25. 在Windows操作系统中， 在搜索文件或文件夹时， 若查找内容为“a?d.*x*”， 则可能查到的文件是 ( )。
COMP-0237,第三章 操作系统,单项选择题,26. 在 Windows操作系统中，可以检查硬盘的逻辑和物理错误并可以修复已损坏区域的程序是 ( )。
COMP-0238,第三章 操作系统,单项选择题,27. 文件的扩展名一般描述的是 ( )。
COMP-0239,第三章 操作系统,单项选择题,28. 所谓的硬件“即插即用”是指 ( )。
COMP-0240,第三章 操作系统,单项选择题,29. 在大多数 Windows应用程序中，打开“帮助”窗口最常用的快捷键是 ( ) 。
COMP-0241,第三章 操作系统,单项选择题,30. 在 Windows操作系统中， 关于文件和文件夹的描述， 错误的是 ( ) 。
COMP-0242,第三章 操作系统,单项选择题,31. 在 Windows操作系统中，若在某一文档中连续进行了多次剪切操作，当关闭该文档后，剪贴板中存放的是 ( )。
COMP-0243,第三章 操作系统,单项选择题,32. 以下关于 Windows中“剪贴板”的说法， 不正确的是 ( )
COMP-0244,第三章 操作系统,单项选择题,33. 关于 Windows系统“回收站”的说法中正确的是 ( ) 。
COMP-0246,第三章 操作系统,单项选择题,35. 下列关于操作系统的主要特性说法错误的是 ( )。
COMP-0247,第三章 操作系统,单项选择题,36. 在 Windows操作系统中，要查看 Windows的版本、CPU 型号和主频、内存大小等信息，可以使用 ( )操作。
COMP-0248,第三章 操作系统,单项选择题,37. 在 Windows操作系统中，要想使用快捷键直接打开资源管理器，应按下 ( )键。
COMP-0249,第三章 操作系统,单项选择题,38. 在 Windows操作系统中，下面 ( ) 叙述是错误的。
COMP-0250,第三章 操作系统,单项选择题,39. 在 Windows操作系统中， 下面 ( ) 叙述是错误的。
COMP-0251,第三章 操作系统,单项选择题,40. 下列关于 Windows文件夹的叙述，错误的是 ( ) 。
COMP-0252,第三章 操作系统,单项选择题,41. 在 Windows中，关于快捷方式说法正确的是 ( ) 。
COMP-0253,第三章 操作系统,单项选择题,42. 下列属于智能手机操作系统的是 ( )。
COMP-0254,第三章 操作系统,单项选择题,43. 下列关于 Windows的描述中，错误的是 ( ) 。
COMP-0255,第三章 操作系统,单项选择题,44. 在 Windows操作系统中， 文件的属性不包含 ( ) 。
COMP-0256,第三章 操作系统,单项选择题,45. 通过按下键盘上的 ( )按键可以将屏幕桌面复制到剪贴板。
COMP-0257,第三章 操作系统,单项选择题,46. Windows 中关于文件属性描述正确的是 ( ) 。
COMP-0258,第三章 操作系统,单项选择题,47. 计算机操作系统的主要功能是 ( )。
COMP-0259,第三章 操作系统,单项选择题,48. 微机上广泛使用的 Windows 是 ( ) 。
COMP-0260,第三章 操作系统,单项选择题,49. 下列说法正确的是 ( )。
COMP-0261,第三章 操作系统,判断题,1. 普遍认为操作系统是管理软硬件系统、改善人机界面、合理组织计算机工作编程和为用户使用计算机提供良好的运行环境的一种系统软件。
COMP-0262,第三章 操作系统,判断题,2. Windows操作系统具有“即插即用”的特点，所以可以支持所有的硬件设备。
COMP-0263,第三章 操作系统,判断题,3. Windows7桌面上的“计算机”只能管理硬件设备，不能管理软件。
COMP-0264,第三章 操作系统,判断题,4. 文件或文件夹的属性设置为只读，则该文件或文件夹不可以编辑存盘，但可以将其删除。
COMP-0265,第三章 操作系统,判断题,5. 通过对磁盘进行磁盘碎片整理，不能提高文件的读取速度。
COMP-0266,第三章 操作系统,判断题,6. 磁盘碎片指的是磁盘因为长期使用而产生的不可再用的物理缺陷，应及时清理。
COMP-0267,第三章 操作系统,判断题,7. 文件存放在磁盘中，既可以存放在磁盘的根目录下，也可以存放到某一个文件夹中。
COMP-0268,第三章 操作系统,判断题,8. 对文件重命名时，如果没有显示其扩展名，此时只能修改主文件名。
COMP-0269,第三章 操作系统,判断题,9. 为了系统安全， Windows7只支持NTFS文件格式。
COMP-0270,第三章 操作系统,填空题,1. 计算机中系统软件的核心是________________，它主要用来控制和管理计算机的所有软硬件资源。
COMP-0272,第三章 操作系统,填空题,3. ________________是直接运行在裸机上的最基本的系统软件，且任何其他软件必须在它的支持下才能运行。
COMP-0273,第三章 操作系统,填空题,4. 文件夹的命名同文件的命名规则相同，从根目录开始，所有层次的文件夹形成了一个__________________ 的组织结构。
COMP-0275,第三章 操作系统,填空题,6. 在Windows的“________________ ”对话框中的“进程”选项卡中，显示了所有当前正在运行的进程，包括应用程序、后台服务等，那些隐藏在系统底层深处的病毒程序和木马程序都可以在这里找到。
COMP-0276,第三章 操作系统,简答题,1. 简述操作系统的功能。
COMP-0279,第四章 办公自动化,单项选择题,1. 在Word 的编辑状态打开了一个文档，对文档进行修改后，当“关闭”文档后， ( )。
COMP-0280,第四章 办公自动化,单项选择题,2. 在 Word 中，文件模版的默认扩展名是 ( )。
COMP-0281,第四章 办公自动化,单项选择题,3. 在 Word 编辑状态，可以使插入点快速移到文档首部的组合键是 ( )。
COMP-0283,第四章 办公自动化,单项选择题,5. 在 Word中，选择一段文字的方法是将光标定位于待选段落中，然后 ( )。
COMP-0284,第四章 办公自动化,单项选择题,6. 在 Word 中，选定一行文本的最方便快捷的方式是 ( )。
COMP-0285,第四章 办公自动化,单项选择题,7. 在Word中，欲把整篇文档中的“计算机”全部删除，最简单的办法是使用“开始”选项卡的“编辑”组中的 ( )命令。
COMP-0286,第四章 办公自动化,单项选择题,8. 在Word 的操作叙述中， 正确的是 ( ) 。
COMP-0287,第四章 办公自动化,单项选择题,9. 在Word中， 要将文档中的“computer”换成“计算机”， 打开“查找和替换”对话框， 在“查找内容”栏里输入“computer”后， 下一步操作是 ( ) 。
COMP-0288,第四章 办公自动化,单项选择题,10. Word 中常用工具栏上 、按钮的作用是 ( ) 。
COMP-0289,第四章 办公自动化,单项选择题,11. 在 Word 中，编辑英文文本时经常会出现红色波浪线，表示 ( )。
COMP-0290,第四章 办公自动化,单项选择题,12. 在 Word编辑中，若需要自动更正经常输错的单词，应使用 ( )功能。
COMP-0291,第四章 办公自动化,单项选择题,13. 在 Word的“字体”对话框中， 不可设定文字的 ( ) 。
COMP-0292,第四章 办公自动化,单项选择题,14. 任意调整 Word 应用程序窗口的“垂直标尺”或“水平标尺”( ) 。
COMP-0293,第四章 办公自动化,单项选择题,15. 在 Word 中， 按回车键时产生一个 ( ) 。
COMP-0294,第四章 办公自动化,单项选择题,16. 在Word中，段落格式的“缩进”表示文本相对于文本边界向页内或页外缩进的一段距离，段落缩进后文本相对打印纸边界的距离等于 ( )。
COMP-0295,第四章 办公自动化,单项选择题,17. 在 Word 中，编辑文本时可以使用 ( )复制文本的格式。
COMP-0296,第四章 办公自动化,单项选择题,18. 通过 ( )操作可以方便地将一个 Word 文档中所有数字设为红色。
COMP-0297,第四章 办公自动化,单项选择题,19. 在 Word 中， 选定整个表格后， 接 Delete键， 可以 ( ) 。
COMP-0298,第四章 办公自动化,单项选择题,20. 在 Word 中，若想要绘制一个标准的圆，应该先选择椭圆工具，再按住 ( )键，然后拖动鼠标。
COMP-0299,第四章 办公自动化,单项选择题,21. 关于 Word 中的文本框，下列说法不正确的是 ( )。
COMP-0300,第四章 办公自动化,单项选择题,22. 在 Word中打印文档时，打印第1，3，9及5至7页，在打印命令中“页码范围”栏应输入 ( )。
