id,action,stem,old_answer_source
ENG-TEXT-038,cleared_wrong_english_official_link,32. Tom has left a(n) ____ saying that he has something important to do.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-039,cleared_wrong_english_official_link,33. The movie starts with a ____ in a beautiful garden.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-040,cleared_wrong_english_official_link,34. I hope there is ____ in your car.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-041,cleared_wrong_english_official_link,35. There is no ____ in applying for that job as you are not qualified.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-046,cleared_wrong_english_official_link,1. Listening to music and watching films are both relaxing forms of ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-047,cleared_wrong_english_official_link,"2. Despite a knee ____, he still persists in going to work.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-048,cleared_wrong_english_official_link,3. The police can't offer a ____ that they will catch the murderer within three days.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-049,cleared_wrong_english_official_link,4. There are many sports ____ in the playground of this university.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-050,cleared_wrong_english_official_link,5. Almost everyone could see her anxiety from the ____ on her face.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-051,cleared_wrong_english_official_link,"6. Although the village is very poor, it will change a lot in ____ time.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-052,cleared_wrong_english_official_link,"7. Although I have read the book several times, I still can't make ____ of its main idea.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-053,cleared_wrong_english_official_link,8. He made a lot of efforts so as to win the election ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-054,cleared_wrong_english_official_link,9. We sat at either end of a long ____ in the park.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-055,cleared_wrong_english_official_link,"10. Success requires effort and time, and there are no short ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-056,cleared_wrong_english_official_link,"11. To my ____, the petrol left in the tank is enough for me to drive home.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-057,cleared_wrong_english_official_link,12. The Eiffel Tower is a great tourist ____ drawing countless visitors every year.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-058,cleared_wrong_english_official_link,13. The issue of reform will be the ____ of attention at this meeting.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-059,cleared_wrong_english_official_link,14. Charles found that today's ____ news happened in his hometown.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-060,cleared_wrong_english_official_link,15. There will be three ____ coming to our school to visit and study for a week.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-061,cleared_wrong_english_official_link,"16. After some interviews, I received several job ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-062,cleared_wrong_english_official_link,17. The debt should be repaid with 2 percent ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-063,cleared_wrong_english_official_link,18. Black coal shows a sharp ____ with white snow.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-064,cleared_wrong_english_official_link,19. Wind energy is a new kind of energy ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-065,cleared_wrong_english_official_link,20. ____ new apartment has two big windows. They like it very much.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-066,cleared_wrong_english_official_link,21. Looking at your works from a different ____ will help improve your level.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-067,cleared_wrong_english_official_link,22. One effective ____ of learning a foreign language is to study it in its cultural context.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-068,cleared_wrong_english_official_link,"23. Whoever helps to catch the robber will be offered a(n) ____ of $1,000.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-069,cleared_wrong_english_official_link,"24. If you have too much ____, you might as well talk to someone you trust.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-070,cleared_wrong_english_official_link,25. David is seriously ill because of overwork for a whole week. He must go to ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-071,cleared_wrong_english_official_link,26. The government wants to learn what people think about a few social ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-072,cleared_wrong_english_official_link,27. People had better make ____ for medical care by putting aside enough money.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-073,cleared_wrong_english_official_link,"28. You need a wide ____ of skills, like leadership and creativity.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-074,cleared_wrong_english_official_link,29. Stop making ____ for her! She must be punished for such a big mistake.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-075,cleared_wrong_english_official_link,30. Quite a few adults tend to be at a loss about their future at this ____ of life.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-111,cleared_wrong_english_official_link,1. The best students are not always ____ with the best brain.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-112,cleared_wrong_english_official_link,2. Animals that are born in a zoo generally adjust to captivity better than ____ that are captured in the wild.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-113,cleared_wrong_english_official_link,"1. Several girls are chatting next door, but ____ is known to me.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-114,cleared_wrong_english_official_link,2. Miss Green is an interesting teacher and most of us like ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-115,cleared_wrong_english_official_link,3. This is a cat and ____ is a horse two hundred meters away.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-116,cleared_wrong_english_official_link,4. My car is better than ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-117,cleared_wrong_english_official_link,5. Alice shared her chocolate with ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-118,cleared_wrong_english_official_link,6. -Can you come in May or June? -I'm afraid ____ of them is possible.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-119,cleared_wrong_english_official_link,7. Hurry up! We have ____ time to waste on such things.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-120,cleared_wrong_english_official_link,8. The number of monkeys here now is about three times as large as ____ three years ago.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-121,cleared_wrong_english_official_link,9. That idea of ____ sounds much better than Clare's. I will vote for her.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-122,cleared_wrong_english_official_link,"10. Don't ride your bike too fast, or you may hurt ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-123,cleared_wrong_english_official_link,11. The boss didn't know ____ to blame for the broken window.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-124,cleared_wrong_english_official_link,12. This chance is rare. Go for ____ before it's gone.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-125,cleared_wrong_english_official_link,13. You could see ____ children and hear ____ noise in the park.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-126,cleared_wrong_english_official_link,14. I didn't pay for the ticket. A stranger gave it to me for ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-127,cleared_wrong_english_official_link,"15. After swimming, my dog likes to dry ____ by sleeping in the garden.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-128,cleared_wrong_english_official_link,1. It is a pity that there are ____ mineral resources in this area.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-129,cleared_wrong_english_official_link,"2. -My computer doesn't work, but I can't find a computer repair shop. -Oh, I know ____. I can take you there.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-130,cleared_wrong_english_official_link,"3. The little girl was left alone in the room, with ____ to look after her.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-131,cleared_wrong_english_official_link,4. There are a lot of dresses in the clothing shop. Most of ____ are expensive.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-132,cleared_wrong_english_official_link,5. Scientific development makes ____ possible for doctors to perform operations remotely.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-133,cleared_wrong_english_official_link,6. The flowers here are not so beautiful as ____ in my garden.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-134,cleared_wrong_english_official_link,7. It is very easy to find our house among these houses. It is ____ painted red outside.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-135,cleared_wrong_english_official_link,8. The person who stole the cookie was not me. It must have been ____ else.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-136,cleared_wrong_english_official_link,9. He announced that the company would move to ____ city.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-137,cleared_wrong_english_official_link,"10. My sister and I have the same hobby, and ____ of us like playing the guitar.",第1章第2节 名词与代词-答案解析.pdf
